listing_key,name,category,subcategory,community,region,lat,lon,tier,website,address,price_band,ownership,notability,rider_delight,indigenous_role,osm_id,origin,google_place_id,google_place_id_match_km,wow_evidence,description
2a28e07649,Tim Hortons,Food & Drink,Fast Food / Chain,Penticton,Thompson Okanagan,49.4756004,-119.5834679,info,https://www.timhortons.ca/,,Cheap eats,Global chain,,,,n4679566601,chain,,,,
2a2934041c,Cob's,Food & Drink,Bakery / Donuts,Surrey,"Vancouver, Coast and Mountains",49.0319093,-122.8656106,welcoming,https://www.cobsbread.com,"12857 16 Ave, Surrey, BC V4A 1N5, Canada",Cheap eats,Buy BC (independent),,,,n9491265252,chain,ChIJp-3apybDhVQRgohAz53fCjw,0.0,,
2a2df12e3a,McDonald's,Food & Drink,Fast Food / Chain,Nanaimo,Vancouver Island,49.2390045,-124.055116,info,https://www.mcdonalds.com/ca/en-ca/location/nanaimo/woodgrove/6675-mary-ellen-drive/26037.html,"6675 Mary Ellen Drive, V9V 1T7",Cheap eats,Global chain,0,,,n1733760129,osm,,,part of the McDonald's Canada chain,"This McDonald's is located in the Woodgrove area of Nanaimo at 6675 Mary Ellen Drive, serving burgers and a full fast-food menu. The restaurant offers Drive-Thru, Curbside, and McDelivery ordering channels, making it a convenient stop for cyclists who don't want to lock up and head inside. It is part of the McDonald's Canada chain, which first opened in Richmond, BC in 1967."
2a30939f06,Oceanside Liquor Store,Groceries,Liquor Store,West Vancouver,"Vancouver, Coast and Mountains",49.3251877,-123.1338197,info,https://oceansideliquorstore.ca/,"100 Park Royal S #104, West Vancouver, BC V7T 1A2",,Buy BC (independent),0,,,n7639090400,osm,,,family-run alcohol retailer,"Oceanside Liquor Store is a family-run alcohol retailer located in the Park Royal shopping centre in West Vancouver, offering a wide selection of beer, coolers, wine, and spirits including exclusive local and imported labels. The shop runs a customer rewards program and weekly in-store specials, and can accommodate large orders for events like weddings or catered parties with advance notice. Orders can also be placed online for in-store pickup or delivered via Skip the Dishes or DoorDash."
2a34c9378d,Honey Salt,Food & Drink,Restaurant,Vancouver,"Vancouver, Coast and Mountains",49.2751643,-123.112746,info,,"39 Smithe Street, Vancouver",Upscale,Buy BC (independent),0,,,n6440030694,osm,ChIJIRy-XcZxhlQRDFO4628S4mI,1.6,,Honey Salt is a restaurant on Smithe Street in downtown Vancouver offering both indoor and outdoor seating. The establishment is wheelchair accessible and maintains a non-smoking environment. Touring cyclists will find convenient dining options for breaks along their route through the city.
2a39eafc13,Sunset Waterfront Resort,Accommodation,Hotel / Motel,Kelowna,Thompson Okanagan,49.894602,-119.498466,info,https://www.kelownaresortaccommodations.com/resorts/sunset-waterfront-resort/,"1128 Sunset Drive, Kelowna, BC V1Y 9W7",Upscale,Buy BC (independent),2,,,a25676315,osm,ChIJSzlZgV_zfVMRdDVS5EfPg10,0.8,"indoor and outdoor pools, hot tubs, a steam room … waterfront location on Okanagan Lake","Sunset Waterfront Resort is a full-service condo-style resort on Okanagan Lake offering self-contained suites in both tower and townhouse formats, each with full kitchens, in-suite laundry, air conditioning, and a private BBQ patio. The complex features indoor and outdoor pools, hot tubs, a steam room, fitness centre, and tennis court, with a public boat launch directly across the street and boat moorage out front. The waterfront location puts cyclists within easy reach of Stuart Park, the Kelowna Yacht Club, and downtown's restaurants and entertainment venues."
2a3b0140fb,Terry Fox Library,Attractions,Library,Port Coquitlam,"Vancouver, Coast and Mountains",49.2605792,-122.777455,welcoming,https://www.fvrl.bc.ca/locations/terry-fox-library,"2150 Wilson Avenue, Port Coquitlam, BC V3C 6J5",Free,Public,1,1,,n12768265001,osm,,,Library ladder 1/1; bike racks. Named for Port Coquitlam's own Terry Fox.,"Terry Fox Library is a branch of the Fraser Valley Regional Library system, the largest public library network in British Columbia serving over 800,000 people across 25 community locations. Situated in Port Coquitlam, it offers a welcoming public space with outdoor bike racks, free WiFi, public computers, and accessible all-gender restrooms. A touring cyclist can drop in to rest, recharge devices, and access the internet in a comfortable, inclusive environment."
2a424c877c,Hungry Otters,Food & Drink,Fast Food / Chain,Surrey,"Vancouver, Coast and Mountains",49.0815373,-122.8211865,info,https://www.instagram.com/hungryottercooking/,"4391 King George Boulevard, Surrey, V3Z1G6",Cheap eats,Buy BC (independent),0,,,n12701528412,osm,ChIJQ109a9_bhVQReVqP7qjbs3I,0.1,"street food vendor... hot dogs, samosas, pierogies, and grilled cheese sandwiches","Hungry Otters is a street food vendor on King George Boulevard in Surrey, serving an eclectic lineup of hot dogs, samosas, pierogies, and grilled cheese sandwiches. The stall accommodates a wide range of dietary needs, with vegan, gluten-free, dairy-free, and sugar-free options all confirmed. Notably, the vendor accepts Bitcoin payments, making it one of the few street food stops in the region with crypto-friendly checkout."
2a457ea1e6,Mr. Pan Pizza,Food & Drink,Fast Food / Chain,Burnaby,"Vancouver, Coast and Mountains",49.2546009,-123.0227038,info,,"3718 Canada Way, Burnaby",Cheap eats,Buy BC (independent),0,,,n5759885054,osm,ChIJ2f8VfpR2hlQRXoHaHpZ7h1E,0.0,fast-food pizzeria in Burnaby,A fast-food pizzeria in Burnaby offering pizza with Indian-fusion options. Convenient for cyclists seeking quick meals on Canada Way.
2a483155e6,Shawarma Palace,Food & Drink,Fast Food / Chain,Richmond,"Vancouver, Coast and Mountains",49.1323154,-123.0915124,welcoming,https://shawarmapalacebc.com/,,Cheap eats,Buy BC (independent),0,,,n11831480448,osm,ChIJQ0TyInXghVQR8cFWz6PbT6w,4.8,,A fast food restaurant specializing in kebab and shawarma in Richmond. Quick takeaway meals for touring cyclists passing through.
2a4916567a,Port McNeill Library Branch,Attractions,Library,Port McNeill,Vancouver Island,50.589865,-127.0876681,info,https://virl.bc.ca/branches/port-mcneill/,"1584 Broughton Boulevard, Port McNeill, V0N 2R0",Free,Public,1,1,,n5912625594,osm,,,Library ladder 1/1.,"The Port McNeill Branch of the Vancouver Island Regional Library is a public library serving a remote community on northern Vancouver Island, on the unceded traditional territory of the Kwakwaka'wakw peoples. Established in 1972 and at its current Broughton Boulevard location since 1990 (renovated 2006), it is a rare indoor rest point in a small, isolated town. Touring cyclists will find free WiFi and public computers available during branch hours."
2a538972dd,Quiznos,Food & Drink,Fast Food / Chain,Kelowna,Thompson Okanagan,49.8867144,-119.4266747,welcoming,https://www.quiznos.com/,,Cheap eats,Global chain,,,,n4503631090,chain,ChIJS8ZA19OMfVMRQzsfJeKrlqw,5.0,,
2a5a2d8036,Koffi,Food & Drink,Café / Coffee,Victoria,Vancouver Island,48.4359489,-123.3401604,info,https://www.koffihouse.ca/,"1441 Haultain St, Victoria, BC V8R 2J8",Cheap eats,Buy BC (independent),1,,,w1467747318,osm,,,neighbourhood coffee house... genuine community hub in a quiet residential corner of Victoria,"Koffi is a neighbourhood coffee house that opened in 2007 in a converted laundromat at Haultain Corners, founded on a philosophy of serving only the highest-quality espresso in just two sizes. The café partners with local Victoria bakeries and makes paninis in-house, and features a rotating 22-by-12-foot art wall showcasing local artists. It also hosts events and provides catering, making it a genuine community hub in a quiet residential corner of Victoria."
2a5adbd162,Bond Bond's Bakery,Food & Drink,Bakery / Donuts,Victoria,Vancouver Island,48.4237813,-123.3629045,welcoming,https://www.bondbondsbakery.com/,1010 Blanshard Street,Cheap eats,Buy BC (independent),0,,,n9732916659,osm,ChIJxVyc3Y90j1QRqDigrvdgQFA,0.5,bakery located on Blanshard Street in central Victoria,"Bond Bond's Bakery is a bakery located on Blanshard Street in central Victoria. The business appears to be open and operational based on OSM records, though website maintenance prevented verification of specific amenities or services."
2a5b85a9a6,Canadian Tire,Groceries,General merchandise,Chilliwack,"Vancouver, Coast and Mountains",49.1424526,-121.965452,info,https://www.canadiantire.ca,45495 Luckakuck,,Buy Canadian,,,,n10599859605,chain,,,,
2a619e58f3,Celista Estate Winery,Food & Drink,Winery / Cidery,Celista,Thompson Okanagan,50.957071,-119.336827,info,https://www.celistawine.com/,"2319 Beguelin Rd, Celista, BC V0E 1M6",Casual,Buy BC (independent),2,,,w807373260,osm,ChIJJ6QlLtX8flMR-qcClMr90qg,0.0,115 medals over 14 years at national and international competitions,"Celista Estate Winery is an 80-acre farm and vineyard on the north shore of Shuswap Lake in BC's interior, producing award-winning wines that have accumulated 115 medals over 14 years at national and international competitions. Visitors can take guided vineyard and winery tours, sample wines in the tasting room, dine at the on-site restaurant, rent one of four lakeside cabins, or attend a summer concert. The property is kid- and pet-friendly and wheelchair accessible, and the vineyard-and-lake panorama makes it a memorable destination stop."
2a68711635,Starbucks,Food & Drink,Fast Food / Chain,Kelowna,Thompson Okanagan,49.8892295,-119.3863213,info,https://www.starbucks.com/,,Cheap eats,Global chain,,,,n4172574409,chain,,,,
2a6f693382,FreshCo,Groceries,Grocery Store,Kelowna,Thompson Okanagan,49.8827439,-119.429301,info,https://www.freshco.com,"500 Highway 97 North, Kelowna, V1X 4H9",,Buy Canadian,,,,n4503669293,chain,,,,
2a71468a2d,Artigiano Phibbs Exchange,Food & Drink,Café / Coffee,North Vancouver,"Vancouver, Coast and Mountains",49.3051086,-123.0297623,info,https://caffeartigiano.com,"1602 Main Street, North Vancouver, V7J 1E2",Cheap eats,Buy BC (independent),1,,,w1366029027,osm,,,Vancouver-born specialty coffee chain with over 25 years of history,"Artigiano Phibbs Exchange is part of a Vancouver-born specialty coffee chain with over 25 years of history, known for house-roasted 100% Arabica espresso, in-house baked goods, and a European-inspired café aesthetic. The Phibbs Exchange location sits in North Vancouver, a popular gateway for cyclists riding the Seymour and Lynn Valley routes. The chain emphasizes organic and seasonal ingredients, avoiding artificial additives, and sources responsibly from local growers."
2a74d6ed12,Babine Lake Campground,Camping,Public Campground,Pendleton Bay,Northern British Columbia,54.5160171,-125.7071613,info,https://www.env.gov.bc.ca/bcparks/explore/parkpgs/babine_lk_pendleton/,,,Provincial park,2,,,n5662186160,osm,,,Babine Lake — the longest natural lake in BC,A free 16-site provincial campground on the shores of Babine Lake — the longest natural lake in BC — in the remote forests of Northern BC; no amenities are confirmed so arrive self-sufficient.
2a7e23162f,Kuo Hua Trading Co,Groceries,Grocery Store,Richmond,"Vancouver, Coast and Mountains",49.1806864,-123.1370394,info,https://www.kuohua.ca/,"4551 Number 3 Road, Unit 120, Richmond, BC V6X 2C3",,Buy BC (independent),1,,,n12873989950,osm,,,originally founded in Toronto in 1995 and expanded to Richmond in 2010,"Kuo Hua Trading Co is a Taiwanese specialty supermarket and food importer, originally founded in Toronto in 1995 and expanded to Richmond in 2010 as its Vancouver flagship store. It carries over 2,000 imported Taiwanese products — from fresh produce and packaged snacks to sauces, teas, and ceramics — and serves as the exclusive Canadian agent for several major Taiwanese food brands. Touring cyclists will find a well-stocked source of Asian specialty groceries, fresh fruit, and packaged energy snacks in the heart of Richmond."
2a7f201d6a,Canadian Tire,Groceries,General merchandise,Beach Grove,"Vancouver, Coast and Mountains",49.0428789,-123.0869299,info,https://www.canadiantire.ca,,,Buy Canadian,,,,w574425302,chain,,,,
2a7f384a58,London Drugs,Groceries,General merchandise,Saanich,Vancouver Island,48.4699326,-123.362532,welcoming,https://www.londondrugs.com/,,,Buy BC (chain),,,,n282812739,chain,ChIJ30HKC8hzj1QR_N9jfuAquRU,0.1,,
2a812f7fca,Denny's,Food & Drink,Restaurant,Kelowna,Thompson Okanagan,49.8824344,-119.440141,info,https://www.dennys.com/,,Casual,Global chain,,,,n1014215767,chain,,,,
2a88f5dc5f,SUYO Modern Peruvian,Food & Drink,Restaurant,Vancouver,"Vancouver, Coast and Mountains",49.2540003,-123.101144,welcoming,https://www.suyo.ca/,"3475 Main Street, Vancouver, BC V5V 3M9",Upscale,Buy BC (independent),1,,,n11072510112,osm,,,chef-driven dinner restaurant… 49-seat room includes a private Nazca Room,"SUYO Modern Peruvian is a chef-driven dinner restaurant on Main Street in Vancouver's Mount Pleasant neighbourhood, drawing its menu from Peru's three great landscapes — the Amazonian rainforest, the Andean mountains, and the Pacific coast. The kitchen showcases dishes like ceviches, tiraditos, and anticucheros alongside larger plates such as lomo saltado and arroz con pato, with an optional multi-course Chef's Tasting Menu. The intimate 49-seat room includes a private Nazca Room for groups, making it a destination for a post-ride celebratory dinner."
2a8984d2c1,Save-On-Foods,Groceries,Grocery Store,Nanaimo,Vancouver Island,49.1914341,-123.967781,welcoming,https://www.saveonfoods.com/store/brooks-landing/,,,Buy BC (chain),,,,n4384435081,chain,,,,
2a8f716ec0,Kinton Ramen,Food & Drink,Restaurant,Burnaby,"Vancouver, Coast and Mountains",49.2651594,-123.0132856,welcoming,https://kintonramen.com/location/gilmore-place/,"Unit #140, 4112 Lougheed Highway, Burnaby, BC V5C 6A8",Casual,Buy Canadian,0,,,n13613665610,osm,,,one of the largest ramen chains in North America with 50+ locations across Canada and the US,"Kinton Ramen at Gilmore Place is a Japanese ramen chain restaurant inside the Gilmore Place shopping centre in Burnaby, steps from Gilmore SkyTrain Station. Part of one of the largest ramen chains in North America with 50+ locations across Canada and the US, it serves fully customizable bowls with a choice of pork, beef, chicken, or vegetarian broth, multiple flavour profiles, and noodle types including shirataki. Touring cyclists will find a hearty, filling sit-down meal in a busy transit-oriented shopping hub."
2a91d55afd,Boston Pizza,Food & Drink,Fast Food / Chain,Surrey,"Vancouver, Coast and Mountains",49.1583858,-122.7820837,info,https://www.bostonpizza.com/,"15980 Fraser Highway, Surrey",Casual,Buy Canadian,,,,w283215199,chain,,,,
2a943d7c0c,Secret Garden,Food & Drink,Restaurant,Burnaby,"Vancouver, Coast and Mountains",49.2525622,-122.898141,welcoming,https://www.secretgardenbuffet.com/,"9628 Cameron St, Burnaby, BC V3J 7N3",Casual,Buy BC (independent),0,,,n824070408,osm,,,Korean buffet and grill restaurant beside Lougheed Town Centre Mall,"Secret Garden is a Korean buffet and grill restaurant situated beside Lougheed Town Centre Mall in Burnaby, offering an all-you-can-eat experience of Korean cuisine in a sit-down indoor setting. The restaurant also offers takeout boxes for customers who want to bring the buffet experience home. It is a full-service dine-in establishment suited for a longer meal stop on a ride."
2a94b80f27,Uma Sushi,Food & Drink,Restaurant,Vancouver,"Vancouver, Coast and Mountains",49.2638329,-123.1137937,welcoming,https://umasushi.ca/,"450 W 8th Ave, Vancouver, BC V5Y 1N9",Casual,Buy BC (independent),1,,,n5936269502,osm,,,"Chef Ma, who trained at Le Crocodile… casual, family-friendly spot with both dine-in and takeout available","Uma Sushi is a traditional Japanese eatery in Vancouver's Cambie and Broadway neighbourhood, helmed by Chef Ma, who trained at Le Crocodile and the Art Institute of Vancouver. The restaurant focuses on authentic sushi and donburi bowls, with farm-to-table ingredients and carefully sourced fresh fish — including seasonal highlights like spot prawns and sanma. It operates as a casual, family-friendly spot with both dine-in and takeout available."
2a983fc215,South Thompson Inn & Conference Centre,Accommodation,Hotel / Motel,Kamloops,Thompson Okanagan,50.6540995,-120.008732,info,,"3438 Shuswap Road, Kamloops, V2H 1T2",Mid-range,Buy BC (independent),0,,,w415169718,osm,ChIJqYoptHM3flMRBONcDkROdh4,23.4,,"The South Thompson Inn & Conference Centre is a 3-level hotel offering accommodation and conference facilities in Kamloops. Located on Shuswap Road, it provides wireless internet access and serves as standard hotel lodging for travelers in the region."
2a9e09bfbd,Bin 4 Burger Lounge,Food & Drink,Restaurant,Langford,Vancouver Island,48.4479852,-123.4965563,info,https://bin4burgerlounge.com,716 Goldstream Avenue,Cheap eats,Buy BC (independent),1,,,w223564048,osm,,,"BC-born gourmet burger chain founded in 2011, now with seven locations","Bin 4 Burger Lounge is a BC-born gourmet burger chain founded in 2011, now with seven locations including this Westshore outpost at 716 Goldstream Avenue. The menu leans on locally sourced ingredients—natural BC beef, Fraser Valley free-run chicken, and seasonal produce—paired with a wide roster of house-made aiolis and craft-inspired cocktails. The casual lounge format offers dine-in, online ordering, and a daily happy hour, making it a solid refuelling stop for cyclists passing through the Langford corridor."
2a9ee17410,Canex,Groceries,Grocery Store,Esquimalt,Vancouver Island,48.4320691,-123.4191488,info,https://www.cfmws.com/canex/,,,Buy BC (independent),,,,w157468823,chain,,,,
2ab2a89060,Krispy Samosa,Food & Drink,Restaurant,Surrey,"Vancouver, Coast and Mountains",49.0555879,-122.8053425,info,https://krispysamosa.ca/,"110-2940 King George Blvd, Surrey BC V4P 0E4",Cheap eats,Buy BC (independent),0,,,n12446065315,osm,,,family-owned takeout shop... Serving freshly made samosas for take-out,"Krispy Samosa is a family-owned takeout shop serving freshly made samosas crafted from a grandmother's recipe with a variety of fillings including potato and peas, paneer, butter chicken, tandoori chicken, and halal beef. All items are halal-certified and the shop offers vegetarian, vegan, and gluten-free options. It is a quick, flavourful pit stop for cyclists looking for an affordable and filling snack."
2aba36c4e5,Ten Mile Bay Campground,Camping,Private Campground,Hemlock Valley,"Vancouver, Coast and Mountains",49.4326261,-121.8413265,info,https://www.westharrisonreservations.com/campgrounds/ten-mile-bay-campground/,"Ten Mile Bay, Fraser Valley, BC V0M 1A0, Canada",,Private,1,,,n13563141565,osm,ChIJKdTQaQAFhFQRPV3f_iXMGSw,0.1,reached by 15 km of forest service road ... dry camping only / very limited amenities,"A new 54-site dry-camping ground on the west shore of Harrison Lake, reached by 15 km of forest service road; the lakeside setting and ample beach access are the draw, but there is no potable water and outhouses only."
2abb9cc273,Spanish Lake Rec Site,Camping,Public Campground,Sweetsbridge,Thompson Okanagan,50.4869377,-119.469271,info,https://www.sitesandtrailsbc.ca/resource/REC1610,"FGPJ+M8, Falkland, BC V0E 1W1, Canada",,Provincial rec site,0,,,n7725692776,camping_only,ChIJkdXSPUZvflMRImV8nt2nHls,0.0,"rough, potentially muddy final section; free with no confirmed facilities","A small, treed forest rec site on Spanish Lake, reached by 6 km of gravel on Silvernail Road with a rough, potentially muddy final section; free with no confirmed facilities."
2abc7ca9a9,Home Lake Recreation Site,Camping,Public Campground,"Remote & backcountry, Regional District of Bulkley-Nechako",Northern British Columbia,53.7064897,-124.4133353,info,https://www.sitesandtrailsbc.ca/resource/REC1298,,,Provincial rec site,1,,,w168083965,camping_only,,,riders must leave bikes at the trailhead and pack in on foot,"A user-maintained A-frame cabin at the west end of Home Lake, reached by a 6 km one-way hike from the Kluskus Forest Service Road; riders must leave bikes at the trailhead and pack in on foot, with a 2-night maximum stay and no confirmed amenities."
2ac357b104,Chaberton Estate Winery,Food & Drink,Winery / Cidery,Langley,"Vancouver, Coast and Mountains",49.0216847,-122.6241188,info,https://www.chabertonwinery.com,"1064 216 Street, Langley, BC V2Z 1R3",Casual,Buy BC (independent),2,,,n8146668470,osm,ChIJ66Eq-qfIhVQRWNGEPNPOsLU,0.0,"Fraser Valley's oldest winery, founded in 1981 ... outdoor picnic tables overlooking the vines","Chaberton Estate Winery is the Fraser Valley's oldest winery, founded in 1981 and set on a 55-acre vineyard in South Langley roughly 45 minutes from Vancouver. Visitors can take guided tours through the crush pad, tank room, and barrel cellar before tasting award-winning 100% BC VQA wines in the boutique tasting room or at outdoor picnic tables overlooking the vines. The on-site Bacchus Bistro serves authentic French-inspired cuisine made with local ingredients, making this a genuine wine-and-dine destination for touring cyclists passing through the Fraser Valley."
2ac542d844,Saint Amore International Sandwiches,Food & Drink,Café / Coffee,Powell River,"Vancouver, Coast and Mountains",49.8436629,-124.5286256,info,https://www.instagram.com/saintamore_intl.sandwiches/,"4722 Marine Avenue, V8A2L4",Cheap eats,Buy BC (independent),0,,,n12329228501,osm,ChIJPYq_hcrnh1QRzfroRjHZI50,0.0,,"Saint Amore International Sandwiches is a cafe on Marine Avenue in Powell River, BC, offering internationally inspired sandwiches. The name and cuisine tag suggest a globally flavored menu, making it a potentially interesting and filling stop for touring cyclists passing through the area. It operates most days of the week from late morning into the afternoon."
2ac5c247da,Petro-Canada,Groceries,Convenience Store,Saanich,Vancouver Island,48.46904,-123.3324122,info,https://www.petro-canada.ca/,,,Buy Canadian,,,,w137448596,chain,,,,
2acb67520e,Ainsworth Hot Springs Resort,Accommodation,Hotel / Motel,Ainsworth Hot Springs,Kootenay Rockies,49.7353933,-116.91124,info,https://www.ainsworthhotsprings.com/,"3609 Balfour-Kaslo-Galena Bay Hwy, Ainsworth Hot Springs, BC V0G 1A0, Canada",Upscale,Buy BC (independent),3,,Indigenous owned; Indigenous operated; Indigenous culture & heritage,n3080963193,osm,ChIJZRfpeMBbe1MRrKTLh-pE7M8,0.1,natural mineral hot spring pools including a remarkable 150-foot horseshoe cave ... used for healing by the Ktunaxa people since time immemorial,"Ainsworth Hot Springs Resort is a historic hotel on the shores of Kootenay Lake in the Selkirk Mountains, centered on natural mineral hot spring pools including a remarkable 150-foot horseshoe cave that has been used for healing by the Ktunaxa people since time immemorial. The resort combines indigenous cultural heritage with modern accommodation across a four-story main building and the newer Yaqan Nukiy Suites, all overlooking the lake and Purcell Mountains. For a touring cyclist, the therapeutic soaking pools offer genuine muscle recovery after a long day on Highway 31."
2ad9ae5996,Pawan's Indian Kitchen,Food & Drink,Restaurant,North Vancouver,"Vancouver, Coast and Mountains",49.3266675,-123.0724874,welcoming,https://pawansindiankitchen.ca/,"1925 Lonsdale Ave, North Vancouver, BC V7M 2K3",Cheap eats,Buy BC (independent),0,,,n5287258586,osm,ChIJu8JUrD5whlQRIpbjx4IZkus,0.7,,"Pawan's Indian Kitchen is an Indian restaurant on Lonsdale Avenue in North Vancouver serving dine-in, takeout, and delivery. Customer reviews highlight generous portions and bold flavours, making it a filling stop for cyclists passing through the Lonsdale corridor. Takeout and delivery options add flexibility for riders who prefer to eat on the go."
2adf88a4af,Island Attitude Café,Food & Drink,Café / Coffee,Tahsis,Vancouver Island,49.9170103,-126.6632984,info,https://www.westviewmarina.com/,"775 S Maquinna Dr, Tahsis, BC V0P 1X0",Cheap eats,Buy BC (independent),0,,,n893249252,osm,,,,"Island Attitude Coffee is an OSM-listed cafe in the Tahsis area of west-coast Vancouver Island, one of the most remote cycling destinations in BC. The only associated website found is Westview Marina & Lodge, which operates a marina grillhouse, pub, and ice cream stand on the docks of Tahsis Inlet. Whether Island Attitude Coffee is a distinct business, a former name, or a coffee counter within the marina complex cannot be determined from available evidence."
2ae1be1a37,Saanich Centennial Library Branch,Attractions,Library,Saanich,Vancouver Island,48.453874,-123.3988109,info,https://gvpl.ca,,Free,Public,1,1,,n276836287,osm,,,Library ladder 1/1.,"The GVPL Saanich Centennial Library Branch is part of the Greater Victoria Public Library system, which operates branches across the greater Victoria region on southern Vancouver Island. Public libraries offer a quiet, climate-controlled environment with public computers and programming open to all visitors. This branch is wheelchair accessible and serves the broader Saanich community."
2ae89323bf,Gyrosa,Food & Drink,Restaurant,View Royal,Vancouver Island,48.4499622,-123.4263417,welcoming,https://gyrosafreshgreek.ca/,"102-1517 Admirals Road, View Royal, BC V9A 2P8",Casual,Buy BC (independent),0,,,n4584196693,osm,,,one of two Greater Victoria locations,"Gyrosa is a fast-casual Greek street food restaurant in View Royal serving modern takes on traditional dishes like gyro wraps, souvlaki bowls, and loaded fries. It is one of two Greater Victoria locations and caters to a wide range of dietary needs with both meat and falafel protein options. Online pickup ordering makes it a straightforward stop for cyclists moving through the area."
2ae99ed0e0,Tin Whistle Brewing Co,Food & Drink,Brewery / Pub,Penticton,Thompson Okanagan,49.4829692,-119.5944723,info,https://www.tinwhistlebrewery.com,"Unit 118 - 1475 Fairview Road, Penticton, BC V2A 7W5",Casual,Buy BC (independent),2,,,n13203801518,osm,ChIJ1f-AHw1iglQR0xLquHl8JVM,1.9,first carbon neutral brewery in British Columbia,"Tin Whistle is a craft brewery and taproom set inside the historic Cannery Trade Centre, a former fruit cannery turned industrial-chic gathering space in Penticton. It holds the distinction of being the first carbon neutral brewery in British Columbia, a milestone the company announced on Earth Day 2021. The taproom pours a rotating lineup of South Okanagan-inspired beers — including their iconic Peach Cream Ale and experimental seasonal taps — in a setting the brewery describes as always playing records and always pouring something new."
2aefbdc99a,Salmo Municipal Campground,Camping,Public Campground,Salmo,Kootenay Rockies,49.1948764,-117.27419,info,http://salmo.ca/discover-salmo/recreation-attractions/#campground,,,Municipal,1,,,n6111993157,osm,,,hot showers… within easy walking distance of Salmo's downtown,"A quiet, shaded municipal campground inside KP Park, two blocks off Highway 6, with hot showers, a playground, and BMX track — within easy walking distance of Salmo's downtown; open mid-May to early September at $20/night, first-come basis."
2af3f1ac39,Phillips Estuary/ʔNacinuxʷ Conservancy,Attractions,Park / Nature,Phillips Arm,Vancouver Island,50.5916401,-125.384607,info,https://bcparks.ca/phillips-estuary-nacinuxw-conservancy/,,Free,Public,1,1,,a4476783,osm,,,"Remote estuary conservancy 53 km north of Campbell River, boat access.","Phillips Estuary/ʔNacinuxʷ Conservancy protects 1,461 hectares of marine, estuary, lake, and river environments at the head of Phillips Arm on BC's Southern Central Coast, about 53 km north of Campbell River. Established in 2007 following Government-to-Government discussions with First Nations, it offers fishing for all five salmon species and wildlife viewing in a largely undeveloped wilderness setting. There are no developed trails, and cyclists are restricted to roadways within the conservancy."
2af8ac49fc,Tolkien Giant,Attractions,Activity / Experience,Clo-oose,Vancouver Island,48.6472472,-124.601618,info,https://ancientforestalliance.org/tolkien-giant-tree-at-root-of-b-c-climate-change-appeal/,,Free,Private (BC-owned),2,3,,n4115277493,osm,,,"Ninth-widest western redcedar in BC (14.4 m around), documented champion tree in the Walbran — big-tree pilgrimage stop.","The Tolkien Giant is a massive ancient western redcedar (Thuja plicata) in Vancouver Island's central Walbran Valley, documented by the Ancient Forest Alliance as the ninth-widest western red cedar in British Columbia with a circumference of 14.4 metres and a height of 42 metres. It is a designated natural monument situated within a protected reserve, though nearby old-growth is under forestry pressure. For adventurous cyclists willing to travel deep into the Walbran, it represents a rare encounter with one of BC's most impressive living trees."
2afd34e62f,On the Run,Groceries,Convenience Store,Fort Nelson,Northern British Columbia,58.8004383,-122.671011,info,https://www.ontherunstores.com/locations/40127,"5000 Cordova Way, Fort Nelson, V0C 1R0",,Global chain,,,,w532563546,chain,,,,
2afd662ec3,La Trattoria,Food & Drink,Restaurant,Maple Ridge,"Vancouver, Coast and Mountains",49.2203841,-122.6068322,welcoming,https://latrattoriaitaliano.com/,"22214 Dewdney Trunk Rd., Maple Ridge, BC V2X 0E6",Casual,Buy BC (independent),1,,,n5004452397,osm,,,"long-established Italian restaurant in downtown Maple Ridge, open since 1998","La Trattoria is a long-established Italian restaurant in downtown Maple Ridge, open since 1998 and led by a chef with over two decades of Italian culinary experience. The kitchen follows a ""la cucina leggera"" philosophy — hearty, full-flavoured dishes made with simply prepared, health-conscious ingredients — and offers gluten-free pasta, appetizers, and entrées. An extensive international wine list, including BC VQA selections, rounds out a sit-down dinner experience."
2aff2c9db7,Nine Bar Coffee,Food & Drink,Café / Coffee,Vancouver,"Vancouver, Coast and Mountains",49.2757447,-123.1237233,welcoming,https://ninebar.ca/,"477 Davie St, Vancouver, BC V6B 2G2",Cheap eats,Buy BC (independent),1,,,n1187585332,osm,ChIJ_-p2GABzhlQRDz6aIwap7i8,1.8,specialty café in Yaletown...carefully sourced local beans and skilled preparation,"Nine Bar Coffee is a specialty café in Yaletown, Vancouver, built around carefully sourced local beans and skilled preparation, with a strong emphasis on community gathering in a relaxed neighbourhood setting. The café offers both indoor and outdoor seating and also operates a mobile battery-powered espresso bar for weddings, corporate events, and private gatherings across Metro Vancouver."
2b0338a38e,Deville Coffee,Food & Drink,Café / Coffee,Vancouver,"Vancouver, Coast and Mountains",49.2853769,-123.1242222,welcoming,https://www.devillecoffee.ca/,"745 Thurlow Street, Vancouver, BC",Cheap eats,Buy BC (chain),1,,,n11435670097,osm,,,locally owned specialty coffee chain founded in 2008... operating across Alberta and BC,"Deville Coffee is a locally owned specialty coffee chain founded in 2008 and now operating across Alberta and BC, including Vancouver. The café brews small-batch, direct-trade beans — sourced from farms in Guatemala and Brazil — crafted into espresso drinks with house-made ingredients like chocolate ganache and organic vanilla. A rotating menu of daily pastries and creative breakfast wraps and sandwiches rounds out the offering."
